Cabinet,Dept,Program,Expense Category,FY18 Actual,FY19 Actual,20 Budget,21 Budget
Administration & Finance,Registry Division,Depositions,Current Charges & Obligations,450,557,600,600
Administration & Finance,Treasury Department,General Management,Personnel Services,"558,881","476,946","514,108","476,522"
Administration & Finance,Treasury Department,General Management,Contractual Services,"41,896","100,669","46,750","222,750"
Administration & Finance,Treasury Department,General Management,Supplies & Materials,"20,827","23,210","16,500","16,500"
Administration & Finance,Treasury Department,General Management,Current Charges & Obligations,"11,771","12,785","12,250","16,500"
Administration & Finance,Treasury Department,Special Collections,Personnel Services,"549,626","544,807","632,905","600,087"
Administration & Finance,Treasury Department,Special Collections,Contractual Services,"1,798","2,166","3,962","3,962"
Administration & Finance,Treasury Department,Special Collections,Supplies & Materials,"2,250","2,000","2,250","2,250"
Administration & Finance,Treasury Department,Payment Services,Personnel Services,"274,707","283,942","384,032","328,246"
Administration & Finance,Treasury Department,Payment Services,Contractual Services,"28,477","56,187","151,650","1,525"
Administration & Finance,Treasury Department,Payment Services,Supplies & Materials,"445,651","437,933","512,198","512,198"
Administration & Finance,Treasury Department,Payment Services,Equipment,817, -   ,"20,000","20,000"
Administration & Finance,Treasury Department,Payment Services,Other Expenses,"979,050","870,163", -   , -   
Administration & Finance,Treasury Department,Accounting/Quality Control,Personnel Services,"368,943","415,214","401,988","389,623"
Administration & Finance,Treasury Department,Accounting/Quality Control,Contractual Services,"1,198","1,277","1,213","1,213"
Administration & Finance,Treasury Department,Accounting/Quality Control,Supplies & Materials,500,500,500,500
Administration & Finance,Treasury Department,Treasury Administration,Personnel Services,"539,677","490,509","512,008","515,740"
Administration & Finance,Treasury Department,Treasury Administration,Contractual Services,"126,119","131,933","176,125","145,150"
Administration & Finance,Treasury Department,Treasury Administration,Supplies & Materials,"13,908","10,057","15,000","15,000"
Administration & Finance,Treasury Department,Treasury Administration,Current Charges & Obligations,"18,089","16,265","19,000","19,000"
Administration & Finance,Treasury Department,Treasury Administration,Equipment,"2,446", -   , -   , -   
Administration & Finance,Treasury Department,General Service/Payroll,Personnel Services,"400,039","417,463","438,946","443,839"
Administration & Finance,Treasury Department,General Service/Payroll,Contractual Services,"18,202","18,361","26,200","24,500"
Administration & Finance,Treasury Department,General Service/Payroll,Supplies & Materials,"296,526","215,106","241,050","241,050"
Administration & Finance,Treasury Department,Treasury Accounting,Personnel Services,"156,223","176,015","184,245","185,391"
Administration & Finance,Treasury Department,Treasury Accounting,Contractual Services,547,664,525, -   
Administration & Finance,Treasury Department,Treasury Accounting,Supplies & Materials,"4,750","4,750","4,700","4,700"
Administration & Finance,Treasury Department,Accounts Receivable,Personnel Services,"335,405","392,542","464,181","481,723"
Administration & Finance,Treasury Department,Accounts Receivable,Contractual Services,768,930,900,900
Administration & Finance,Treasury Department,Accounts Receivable,Supplies & Materials,"14,318","67,200","17,000","17,000"
Administration & Finance,Treasury Department,Trust,Personnel Services,"2,691", -   ,0,"43,415"
Administration & Finance,Treasury Department,Trust,Supplies & Materials, -   ,250, -   , -   
Administration & Finance,Treasury Department,Trust,Other Expenses, -   ,"15,000,000","15,000,000", -   
Administration & Finance,Unemployment Compensation,Unemployment Compensation,Personnel Services, -   , -   ,"350,000","350,000"
Administration & Finance,Workers' Compensation Fund,Workers' Compensation Fund,Personnel Services,"868,483","47,136", -   , -   
Administration & Finance,Workers' Compensation Fund,Workers' Compensation Fund,Other Expenses,"517,185","1,571,408","2,200,000","2,200,000"
Health & Human Services,Office of Health & Human Services,Health & Human Services,Personnel Services, -   , -   , -   ,"586,076"
Health & Human Services,Office of Health & Human Services,Health & Human Services,Contractual Services, -   , -   , -   ,"535,000"
Health & Human Services,Office of Health & Human Services,Health & Human Services,Supplies & Materials, -   , -   , -   ,"10,000"
Health & Human Services,Office of Health & Human Services,Mayor's Office of Food Access,Personnel Services, -   , -   , -   ,"259,572"
Health & Human Services,Office of Health & Human Services,Mayor's Office of Food Access,Contractual Services, -   , -   , -   ,"263,000"
Health & Human Services,Office of Health & Human Services,Mayor's Office of Food Access,Supplies & Materials, -   , -   , -   ,"2,000"
Health & Human Services,Office of Health & Human Services,Mayor's Office of Food Access,Current Charges & Obligations, -   , -   , -   ,150
Health & Human Services,Boston Center for Youth & Families,Administration & Policy,Personnel Services,"12,659,030","13,205,443","13,290,477","12,187,480"
Health & Human Services,Boston Center for Youth & Families,Administration & Policy,Contractual Services,"3,672,914","3,234,816","3,424,219","3,313,377"
Health & Human Services,Boston Center for Youth & Families,Administration & Policy,Supplies & Materials,"329,113","325,010","256,148","423,148"
Health & Human Services,Boston Center for Youth & Families,Administration & Policy,Current Charges & Obligations,"31,842","112,756","109,400","258,099"
Health & Human Services,Boston Center for Youth & Families,Administration & Policy,Equipment,"95,037","106,497","218,024","317,228"
Health & Human Services,Boston Center for Youth & Families,Administration & Policy,Other Expenses, -   , -   ,"330,000", -   
Health & Human Services,Boston Center for Youth & Families,Sports & Fitness,Personnel Services,"4,218,196","4,170,411","4,423,213","4,770,850"
Health & Human Services,Boston Center for Youth & Families,Sports & Fitness,Contractual Services,932,532, -   , -   
Health & Human Services,Boston Center for Youth & Families,Sports & Fitness,Other Expenses,"2,000,000", -   , -   , -   
Health & Human Services,Boston Center for Youth & Families,Youth & Family Services,Personnel Services,"3,827,767","3,904,879","4,644,726","4,765,347"
Health & Human Services,Boston Center for Youth & Families,Youth & Family Services,Contractual Services,607,607,"155,678","115,078"
Health & Human Services,Boston Center for Youth & Families,Youth & Family Services,Current Charges & Obligations,"44,288", -   ,"45,000","45,000"
Health & Human Services,Boston Center for Youth & Families,Child Care & Out-of-School,Personnel Services,"1,202,228","1,255,681","1,545,422","1,441,468"
Health & Human Services,Boston Center for Youth & Families,Child Care & Out-of-School,Contractual Services,"1,060,451","1,141,502","1,149,502","1,149,502"
Health & Human Services,Boston Center for Youth & Families,Child Care & Out-of-School,Supplies & Materials,"9,362","9,519","11,679","12,600"
Health & Human Services,Boston Center for Youth & Families,Child Care & Out-of-School,Current Charges & Obligations, -   ,430,"2,300","2,500"
Health & Human Services,Commission For Persons W/Disabilities,Disabilities,Personnel Services,"407,284","382,462","465,440","490,496"
Health & Human Services,Commission For Persons W/Disabilities,Disabilities,Contractual Services,"14,552","12,114","14,600","12,620"
Health & Human Services,Commission For Persons W/Disabilities,Disabilities,Supplies & Materials,"6,293","5,915","7,500","7,500"
Health & Human Services,Age Strong,Age Strong Administration,Personnel Services,"845,632","893,153","920,881","949,483"
Health & Human Services,Age Strong,Age Strong Administration,Contractual Services,"89,741","119,467","31,000","25,000"
Health & Human Services,Age Strong,Age Strong Administration,Supplies & Materials,"23,901","13,021","17,200","15,450"
Health & Human Services,Age Strong,Age Strong Administration,Current Charges & Obligations,"13,402","36,075","6,040","12,840"
Health & Human Services,Age Strong,Age Strong Operations,Personnel Services,"520,674","505,213","527,206","615,282"
Health & Human Services,Age Strong,Age Strong Operations,Contractual Services,"336,261","361,343","137,300","237,100"
Health & Human Services,Age Strong,Age Strong Operations,Supplies & Materials,"89,820","112,616","126,101","126,101"
Health & Human Services,Age Strong,Age Strong Operations,Current Charges & Obligations,"9,221","36,614","40,000","40,000"
Health & Human Services,Age Strong,Age Strong Transportation,Personnel Services,"1,235,993","1,240,540","1,375,964","1,367,601"
Health & Human Services,Age Strong,Age Strong Transportation,Contractual Services,"64,406","36,686","82,455","80,100"
Health & Human Services,Age Strong,Age Strong Transportation,Supplies & Materials,"75,712","70,273","71,410","67,000"
Health & Human Services,Age Strong,Age Strong Transportation,Current Charges & Obligations,"22,492","2,347","5,000", -   
Health & Human Services,Age Strong,Age Strong Transportation,Equipment,"56,705","28,353", -   , -   
Health & Human Services,Age Strong,Program & Partnerships,Personnel Services,"184,367","263,142","224,608","270,240"
Health & Human Services,Age Strong,Program & Partnerships,Contractual Services,245,"4,927","400,500","389,900"
Health & Human Services,Age Strong,Program & Partnerships,Supplies & Materials,60,83, -   , -   
Health & Human Services,Fair Housing & Equity,Fair Housing Commission,Personnel Services,"246,087","251,791","297,666","296,014"
Health & Human Services,Fair Housing & Equity,Fair Housing Commission,Contractual Services,"3,615","8,696","10,550","11,350"
Health & Human Services,Fair Housing & Equity,Fair Housing Commission,Supplies & Materials,"4,019","4,476","8,000","8,000"
Health & Human Services,Fair Housing & Equity,Fair Housing Commission,Current Charges & Obligations,519,"1,749","2,150","2,150"
Health & Human Services,Fair Housing & Equity,Fair Housing Commission,Equipment,"4,425","23,992", -   , -   
Health & Human Services,Youth Engagement & Employment,Youth Engagement & Employment Program,Personnel Services,"5,482,790","5,184,759","6,281,200","7,031,817"
Health & Human Services,Youth Engagement & Employment,Youth Engagement & Employment Program,Contractual Services,"188,997","252,327","67,280","140,811"
Health & Human Services,Youth Engagement & Employment,Youth Engagement & Employment Program,Supplies & Materials,"63,031","56,188","68,500","68,500"
Health & Human Services,Youth Engagement & Employment,Youth Engagement & Employment Program,Current Charges & Obligations,"1,440","3,783","6,600","9,900"
Health & Human Services,Youth Engagement & Employment,Youth Engagement & Employment Program,Equipment,"37,442","31,477","4,500","4,500"
Health & Human Services,Youth Engagement & Employment,Youth Engagement & Employment Program,Other Expenses,"562,500","562,590","562,500","562,500"
Health & Human Services,Office for Immigrant Advancement,Immigrant Advancement,Personnel Services,"408,490","333,821","538,867","612,339"
Health & Human Services,Office for Immigrant Advancement,Immigrant Advancement,Contractual Services,"17,021","28,844","81,300","250,610"
Health & Human Services,Office for Immigrant Advancement,Immigrant Advancement,Supplies & Materials,"8,568","8,810","6,200","11,200"
Health & Human Services,Office for Immigrant Advancement,Immigrant Advancement,Current Charges & Obligations,"9,822","27,371","1,400","1,400"
Health & Human Services,Office for Immigrant Advancement,Immigrant Advancement,Equipment, -   ,"13,089", -   , -   
Health & Human Services,Public Health Commission,Public Health Commission,Other Expenses,"79,563,339","87,967,402","93,405,428","102,473,529"
Health & Human Services,Boston VETS,Veterans' Services,Personnel Services,"921,255","860,706","1,036,147","1,049,873"
Health & Human Services,Boston VETS,Veterans' Services,Contractual Services,"75,852","74,931","98,232","96,702"
Health & Human Services,Boston VETS,Veterans' Services,Supplies & Materials,"58,584","57,928","71,550","71,550"
Health & Human Services,Boston VETS,Veterans' Services,Current Charges & Obligations,"2,158,007","1,939,429","3,499,750","3,394,750"
Health & Human Services,Boston VETS,Veterans' Services,Equipment,"19,928","4,057", -   , -   
Housing & Neighborhood Development,Neighborhood Development,Neighborhood Development Administration,Personnel Services,"1,343,308","1,353,829","1,435,321","1,493,753"
Housing & Neighborhood Development,Neighborhood Development,Neighborhood Development Administration,Contractual Services,"99,523","260,248","208,863","245,604"
Housing & Neighborhood Development,Neighborhood Development,Neighborhood Development Administration,Supplies & Materials,"27,519","25,041","37,970","33,297"
Housing & Neighborhood Development,Neighborhood Development,Neighborhood Development Administration,Current Charges & Obligations,"82,985","82,290","101,526","99,426"
Housing & Neighborhood Development,Neighborhood Development,Neighborhood Development Administration,Equipment,"1,100","8,423","8,755","8,755"
Housing & Neighborhood Development,Neighborhood Development,Real Estate Management & Sales,Personnel Services,"1,079,143","1,056,611","1,008,338","870,347"
Housing & Neighborhood Development,Neighborhood Development,Real Estate Management & Sales,Contractual Services,"1,071,343","876,426","925,920","1,146,250"
Housing & Neighborhood Development,Neighborhood Development,Real Estate Management & Sales,Supplies & Materials,"3,697","4,947","8,750","8,000"
Housing & Neighborhood Development,Neighborhood Development,Real Estate Management & Sales,Current Charges & Obligations,"26,060","24,540","31,650","31,650"
Housing & Neighborhood Development,Neighborhood Development,Housing Development & Services,Personnel Services,"1,014,079","1,184,678","1,423,089","1,795,725"
Housing & Neighborhood Development,Neighborhood Development,Housing Development & Services,Contractual Services,"373,666","83,529","487,980","488,800"
Housing & Neighborhood Development,Neighborhood Development,Housing Development & Services,Supplies & Materials,"13,245","2,718","9,000","3,400"
Housing & Neighborhood Development,Neighborhood Development,Housing Development & Services,Other Expenses,"8,550,000","9,240,452","14,890,452","20,863,343"
Information & Technology,Department of Innovation and Technology,DoIT Operations,Personnel Services,"1,970,721","1,780,221","1,783,984","1,995,604"
Information & Technology,Department of Innovation and Technology,DoIT Operations,Contractual Services,"2,967,319","2,756,536","1,294,715","887,500"
Information & Technology,Department of Innovation and Technology,DoIT Operations,Supplies & Materials,"18,608","16,493","28,550","15,550"
Information & Technology,Department of Innovation and Technology,DoIT Operations,Current Charges & Obligations,"326,518","938,428","364,332","747,726"
Information & Technology,Department of Innovation and Technology,DoIT Operations,Equipment,37,"7,583","457,311","625,661"
Information & Technology,Department of Innovation and Technology,Enterprise Applications,Personnel Services,"5,360,276","5,516,587","5,677,105","5,671,324"
Information & Technology,Department of Innovation and Technology,Enterprise Applications,Contractual Services,"3,577,478","2,202,987","1,290,455","1,798,240"
Information & Technology,Department of Innovation and Technology,Enterprise Applications,Supplies & Materials, -   ,631, -   , -   
Information & Technology,Department of Innovation and Technology,Enterprise Applications,Current Charges & Obligations,"4,779,913","5,735,410","5,188,180","5,292,657"
Information & Technology,Department of Innovation and Technology,Enterprise Applications,Equipment,"371,548", -   , -   , -   
Information & Technology,Department of Innovation and Technology,Digital Engagement & Services,Personnel Services,"557,004","787,959","1,007,374","860,108"
Information & Technology,Department of Innovation and Technology,Digital Engagement & Services,Contractual Services,"5,905","703,987","296,465", -   
Information & Technology,Department of Innovation and Technology,Digital Engagement & Services,Current Charges & Obligations,"266,007","280,391","287,676","368,677"
Information & Technology,Department of Innovation and Technology,Digital Engagement & Services,Equipment, -   , -   , -   ,"20,000"
Information & Technology,Department of Innovation and Technology,Core Infrastructure,Personnel Services,"4,440,027","4,128,484","4,049,186","4,309,636"
Information & Technology,Department of Innovation and Technology,Core Infrastructure,Contractual Services,"910,990","3,061,964","4,449,947","2,432,077"
Information & Technology,Department of Innovation and Technology,Core Infrastructure,Supplies & Materials,"19,953","23,726","11,000","26,000"
Information & Technology,Department of Innovation and Technology,Core Infrastructure,Current Charges & Obligations,"4,991,576","7,461,061","4,415,922","7,471,299"
Information & Technology,Department of Innovation and Technology,Core Infrastructure,Equipment,"1,257,418","1,338,357","940,059","76,282"
Information & Technology,Department of Innovation and Technology,Data & Analytics,Personnel Services,"886,809","856,775","1,210,940","923,501"
Information & Technology,Department of Innovation and Technology,Data & Analytics,Contractual Services,"109,054","780,279","84,645","34,775"
Information & Technology,Department of Innovation and Technology,Data & Analytics,Current Charges & Obligations,"557,805","247,989","880,145","1,026,821"
Information & Technology,Department of Innovation and Technology,Broadband & Digital Equity,Personnel Services,"415,983","432,697","441,815","504,861"
Information & Technology,Department of Innovation and Technology,Broadband & Digital Equity,Contractual Services,"25,000",291,"200,250","265,000"
Information & Technology,Department of Innovation and Technology,Broadband & Digital Equity,Supplies & Materials,250,250,250,250
Information & Technology,Department of Innovation and Technology,Broadband & Digital Equity,Current Charges & Obligations, -   , -   , -   , -   
Public Safety,Emergency Management,Homeland Security,Personnel Services,"139,850","138,981","329,620","409,877"
Public Safety,Emergency Management,Homeland Security,Contractual Services,"171,594","172,719","195,943","204,913"
Public Safety,Emergency Management,Homeland Security,Supplies & Materials,"6,940","25,174","6,000","6,000"
Public Safety,Emergency Management,Homeland Security,Current Charges & Obligations,"332,367","347,379","353,600","364,650"
Public Safety,Fire Department,BFD Administration,Personnel Services,"11,945,979","12,425,175","12,509,465","13,871,175"
Public Safety,Fire Department,BFD Administration,Contractual Services,"2,458,148","2,610,445","3,205,984","3,195,965"
Public Safety,Fire Department,BFD Administration,Supplies & Materials,"175,158","192,270","214,224","214,224"
Public Safety,Fire Department,BFD Administration,Current Charges & Obligations,"4,777,199","4,501,742","3,769,350","3,832,313"
Public Safety,Fire Department,Boston Fire Suppression,Personnel Services,"168,283,788","186,773,453","202,499,075","202,793,931"
Public Safety,Fire Department,Boston Fire Suppression,Contractual Services,"786,689","1,031,582","955,610","951,110"
Public Safety,Fire Department,Boston Fire Suppression,Supplies & Materials,"3,034,684","3,102,038","2,883,205","2,710,332"
Public Safety,Fire Department,Boston Fire Suppression,Current Charges & Obligations,"27,881","24,363","51,132","51,132"
Public Safety,Fire Department,Boston Fire Suppression,Equipment,"4,834,609","4,852,718","3,431,490","2,262,080"
Public Safety,Fire Department,Fire Alarm,Personnel Services,"7,551,330","7,636,341","8,823,035","9,571,336"
Public Safety,Fire Department,Fire Alarm,Contractual Services,"1,194,018","1,286,835","1,345,180","1,343,180"
Public Safety,Fire Department,Fire Alarm,Supplies & Materials,"194,696","133,851","184,129","168,129"
Public Safety,Fire Department,Fire Alarm,Current Charges & Obligations,"207,777","296,040","258,000","258,000"
Public Safety,Fire Department,Fire Alarm,Equipment,"573,002","489,943","1,153,300","1,033,211"
Public Safety,Fire Department,BFD Training,Personnel Services,"3,971,802","4,032,760","4,611,891","5,163,420"
Public Safety,Fire Department,BFD Training,Contractual Services,"52,721","193,552","129,350","127,350"
Public Safety,Fire Department,BFD Training,Supplies & Materials,"30,651","101,809","127,825","127,825"
Public Safety,Fire Department,BFD Training,Current Charges & Obligations,"1,756","1,569","16,130","16,130"
Public Safety,Fire Department,BFD Training,Equipment,"70,388","75,080","84,100","84,100"
Public Safety,Fire Department,BFD Maintenance,Personnel Services,"2,881,781","3,297,998","3,571,508","3,933,665"
Public Safety,Fire Department,BFD Maintenance,Contractual Services,"2,750,409","4,441,134","4,017,878","4,106,437"
Public Safety,Fire Department,BFD Maintenance,Supplies & Materials,"2,518,327","2,169,140","2,465,875","2,465,875"
Public Safety,Fire Department,BFD Maintenance,Current Charges & Obligations,"8,070","41,316","58,753","58,753"
Public Safety,Fire Department,BFD Maintenance,Equipment,"2,248,721","6,020,090","1,408,879","1,235,461"
Public Safety,Fire Department,BFD Maintenance,Other Expenses,"6,000","22,170","20,000","20,000"
Public Safety,Fire Department,BFD Fire Prevention,Personnel Services,"11,644,499","13,122,324","12,664,671","14,201,644"
Public Safety,Fire Department,BFD Fire Prevention,Contractual Services,"56,902","104,951","126,981","123,981"
Public Safety,Fire Department,BFD Fire Prevention,Supplies & Materials,"144,312","91,473","141,450","141,450"
Public Safety,Fire Department,BFD Fire Prevention,Current Charges & Obligations,"131,739","121,646","123,303","151,288"
Public Safety,Fire Department,BFD Fire Prevention,Equipment,"2,453", -   ,"1,800","1,800"
Public Safety,Fire Department,"Firefighter Safety, Health and Wellness",Personnel Services,"759,211","537,793","632,290","713,902"
Public Safety,Fire Department,"Firefighter Safety, Health and Wellness",Contractual Services,"54,624","47,100","92,000","92,000"
Public Safety,Fire Department,"Firefighter Safety, Health and Wellness",Supplies & Materials,"16,109","15,737","22,200","22,200"
Public Safety,Fire Department,"Firefighter Safety, Health and Wellness",Current Charges & Obligations,371, -   ,"1,000","1,000"
Public Safety,Fire Department,"Firefighter Safety, Health and Wellness",Equipment,"23,816","14,594","15,000","15,000"
Public Safety,Police Department,Police Commissioner's Office,Personnel Services,"9,057,902","8,813,179","8,115,776","11,920,464"
Public Safety,Police Department,Police Commissioner's Office,Contractual Services,"362,701","409,003","648,984","663,984"
Public Safety,Police Department,Police Commissioner's Office,Supplies & Materials,"73,234","65,462","51,400","51,400"
Public Safety,Police Department,Police Commissioner's Office,Current Charges & Obligations,"25,049","11,989","22,555","45,555"
Public Safety,Police Department,Police Commissioner's Office,Equipment,"45,605","33,131","25,885","25,885"
Public Safety,Police Department,Bureau of Community Engagement,Personnel Services, -   ,"-78,524","3,709,214","3,789,268"
Public Safety,Police Department,Bureau of Community Engagement,Contractual Services, -   , -   ,"11,000","86,000"
Public Safety,Police Department,Bureau of Community Engagement,Supplies & Materials, -   , -   ,"15,000","15,000"
Public Safety,Police Department,Bureau of Community Engagement,Current Charges & Obligations, -   , -   ,"2,000","2,000"
Public Safety,Police Department,Bureau of Community Engagement,Equipment, -   , -   ,"6,500","6,500"
Public Safety,Police Department,BAT-Operations,Personnel Services,"7,563,508","8,056,687","693,205","6,503,086"
Public Safety,Police Department,BAT-Operations,Contractual Services,"3,400,733","3,671,301","3,619,327","3,554,341"
Public Safety,Police Department,BAT-Operations,Supplies & Materials,"4,018,902","3,782,363","4,501,209","4,315,280"
Public Safety,Police Department,BAT-Operations,Current Charges & Obligations,"402,184","524,180","427,158","431,840"
Public Safety,Police Department,BAT-Operations,Equipment,"13,169,801","12,100,291","5,531,618","4,067,873"
Public Safety,Police Department,BAT-Admin & Technology,Personnel Services,"38,599,155","38,492,487","54,241,364","55,087,795"
Public Safety,Police Department,BAT-Admin & Technology,Contractual Services,"9,048,049","10,767,350","15,552,973","14,556,260"
Public Safety,Police Department,BAT-Admin & Technology,Supplies & Materials,"1,083,415","971,695","803,861","803,861"
Public Safety,Police Department,BAT-Admin & Technology,Current Charges & Obligations,"4,756,066","5,251,908","4,326,700","4,486,226"
Public Safety,Police Department,BAT-Admin & Technology,Equipment,"2,073,141","3,286,698","1,219,951","841,450"
Public Safety,Police Department,Bureau of Professional Development,Personnel Services,"11,948,550","14,418,051","13,070,433","4,625,481"
Public Safety,Police Department,Bureau of Professional Development,Contractual Services,"69,362","139,235","200,956","200,956"
Public Safety,Police Department,Bureau of Professional Development,Supplies & Materials,"300,227","348,627","283,164","263,164"
Public Safety,Police Department,Bureau of Professional Development,Current Charges & Obligations,"49,318","39,504","9,950","9,950"
Public Safety,Police Department,Bureau of Professional Development,Equipment,"16,219","184,609","29,100","29,100"
Public Safety,Police Department,Bureau of Field Services,Personnel Services,"202,448,178","214,956,439","213,332,516","225,574,678"
Public Safety,Police Department,Bureau of Field Services,Contractual Services,"272,389","239,282","286,391","286,471"
Public Safety,Police Department,Bureau of Field Services,Supplies & Materials,"1,501,451","1,669,350","2,365,445","2,371,724"
Public Safety,Police Department,Bureau of Field Services,Current Charges & Obligations,"6,070","2,910","2,200","2,200"
Public Safety,Police Department,Bureau of Field Services,Equipment,"214,928","251,159","173,512","173,512"
Public Safety,Police Department,Bureau of Professional Standards,Personnel Services,"9,109,140","9,202,444","5,255,996","3,984,354"
Public Safety,Police Department,Bureau of Professional Standards,Contractual Services,"17,608","80,267","69,610","69,610"
Public Safety,Police Department,Bureau of Professional Standards,Supplies & Materials,"43,400","44,267", -   , -   
Public Safety,Police Department,Bureau of Professional Standards,Current Charges & Obligations,"41,332","50,344","40,730","40,730"
Public Safety,Police Department,Bureau of Professional Standards,Equipment,"3,375","2,472","5,000","5,000"
Public Safety,Police Department,Bureau of Investigative Services,Personnel Services,"74,997,191","79,094,737","70,300,160","60,374,641"
Public Safety,Police Department,Bureau of Investigative Services,Contractual Services,"343,045","408,131","421,760","508,785"
Public Safety,Police Department,Bureau of Investigative Services,Supplies & Materials,"572,169","622,808","346,040","470,976"
Public Safety,Police Department,Bureau of Investigative Services,Current Charges & Obligations,"134,271","146,769","96,757","125,157"
Public Safety,Police Department,Bureau of Investigative Services,Equipment,"408,313","105,357","172,642","200,642"
Public Safety,Police Department,Bureau of Intelligence & Analysis,Personnel Services,"3,732,471","-1,419,361","4,318,837","3,610,828"
Public Safety,Police Department,Bureau of Intelligence & Analysis,Contractual Services,302,302, -   , -   
Public Safety,Police Department,Bureau of Intelligence & Analysis,Supplies & Materials,"15,733","15,467", -   , -   
Streets,Central Fleet Management,Fleet Services,Personnel Services,"1,944,806","2,380,645","2,271,045","2,214,279"
Streets,Central Fleet Management,Fleet Services,Contractual Services,"287,940","252,861","350,781","347,781"
Streets,Central Fleet Management,Fleet Services,Supplies & Materials,"353,740","70,281","146,816","146,816"
Streets,Central Fleet Management,Fleet Services,Current Charges & Obligations,"8,639","6,564","6,350","6,350"
Streets,Central Fleet Management,Fleet Services,Equipment,"234,045","282,859","335,493","332,089"
Streets,Office of Streets,Admin & Finance,Personnel Services,"1,780,689","2,118,484","2,141,739","2,068,376"
Streets,Office of Streets,Admin & Finance,Contractual Services,"3,869","6,613","13,238","39,050"
Streets,Office of Streets,Admin & Finance,Supplies & Materials,"1,317","4,331","7,486","6,400"
Streets,Office of Streets,Admin & Finance,Current Charges & Obligations, -   , -   ,"51,610","6,610"
Streets,Office of Streets,Admin & Finance,Equipment,"12,492","1,981","3,034","2,388"
Streets,Public Works Department,PWD Commissioner's Office,Personnel Services,"1,481,635","1,310,423","1,407,176","1,224,479"
Streets,Public Works Department,PWD Commissioner's Office,Contractual Services,"438,235","349,719","344,500","294,500"
Streets,Public Works Department,PWD Commissioner's Office,Supplies & Materials,"389,641","109,119","120,487","115,600"
Streets,Public Works Department,PWD Commissioner's Office,Current Charges & Obligations,"527,366","543,252","538,000","567,000"
Streets,Public Works Department,PWD Commissioner's Office,Equipment,"30,644","5,154","7,255","5,729"
Streets,Public Works Department,Building/Facility Maintenance,Personnel Services,"669,815","689,343","802,407","761,237"
Streets,Public Works Department,Building/Facility Maintenance,Contractual Services,"2,160,980","1,818,799","1,840,082","1,974,061"
Streets,Public Works Department,Building/Facility Maintenance,Supplies & Materials,"55,405","72,872","71,971","72,650"
Streets,Public Works Department,Building/Facility Maintenance,Current Charges & Obligations,"8,344","5,483","3,170","3,170"
Streets,Public Works Department,Building/Facility Maintenance,Equipment,"42,483","21,145","59,154","103,178"
Streets,Public Works Department,Engineering,Personnel Services,"1,387,115","1,544,573","1,542,784","1,709,407"
Streets,Public Works Department,Engineering,Contractual Services,"215,183","613,920","102,495","87,695"
Streets,Public Works Department,Engineering,Supplies & Materials,"14,656","17,235","23,215","23,000"
Streets,Public Works Department,Engineering,Current Charges & Obligations,"5,414","11,554","13,120","13,120"
Streets,Public Works Department,Engineering,Equipment,"20,963","34,986","36,207","47,636"
Streets,Public Works Department,Construction Management,Personnel Services,"2,859,363","2,939,958","3,149,044","2,919,145"
Streets,Public Works Department,Construction Management,Contractual Services,"372,727","211,914","429,250","149,250"
Streets,Public Works Department,Construction Management,Supplies & Materials,"17,512","23,565","28,610","43,000"
Streets,Public Works Department,Construction Management,Current Charges & Obligations,"4,750","6,084","7,080","7,080"
Streets,Public Works Department,Construction Management,Equipment,"31,750","37,136","68,986","97,609"
Streets,Public Works Department,Highway Field Operations,Personnel Services,"9,615,606","9,303,423","10,922,792","11,102,130"
Streets,Public Works Department,Highway Field Operations,Contractual Services,"6,365,410","7,797,440","6,818,004","6,798,137"
Streets,Public Works Department,Highway Field Operations,Supplies & Materials,"1,030,741","1,110,736","1,345,425","1,216,250"
Streets,Public Works Department,Highway Field Operations,Current Charges & Obligations,"59,688","51,310","5,500","5,500"
Streets,Public Works Department,Highway Field Operations,Equipment,"1,873,348","1,688,956","2,105,715","1,730,327"
Streets,Public Works Department,Bridge Operations/Maintenance,Personnel Services,"1,067,056","1,016,915","1,097,534","1,081,595"
Streets,Public Works Department,Bridge Operations/Maintenance,Contractual Services,"1,396,403","1,262,786","691,400","691,663"
Streets,Public Works Department,Bridge Operations/Maintenance,Supplies & Materials,"4,155","4,200","47,036","26,950"
Streets,Public Works Department,Bridge Operations/Maintenance,Current Charges & Obligations,"1,517","1,229",780,780
Streets,Public Works Department,Bridge Operations/Maintenance,Equipment,"12,743","13,200","12,722","6,362"
Streets,Public Works Department,Street Lights,Personnel Services,"3,006,192","3,119,286","3,280,849","3,249,162"
Streets,Public Works Department,Street Lights,Contractual Services,"6,301,890","5,947,911","7,327,550","6,574,548"
Streets,Public Works Department,Street Lights,Supplies & Materials,"81,355","71,376","109,376","106,350"
Streets,Public Works Department,Street Lights,Current Charges & Obligations,182,"10,722","20,500","20,500"
Streets,Public Works Department,Street Lights,Equipment,"602,530","508,751","424,821","325,935"
Streets,Public Works Department,Street Lights,Other Expenses,"408,987","367,143","400,000","400,000"
Streets,Public Works Department,Waste Reduction,Personnel Services,"2,207,715","2,330,048","2,393,653","2,451,260"
Streets,Public Works Department,Waste Reduction,Contractual Services,"37,873,040","40,063,208","52,198,726","54,200,493"
Streets,Public Works Department,Waste Reduction,Supplies & Materials,"223,418","230,399","443,289","441,800"
